,level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,0,1,2.0,0.0,0.0,32,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Man Utd,Man City,,nan,,,0.0,0.0,,nan,1.0,Man Utd
1,1,2,2.0,0.0,0.0,167,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Man City,Man Utd,,nan,,,0.0,0.0,,nan,1.0,Man Utd
2,2,3,3.0,0.0,0.0,32,52.605000000000004,34.068000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.21'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.2'}]","[91, 117, 30, 35, 38, 216, 218]",True,123761.0,39.06,33.184,,,,,,,,,,,0.0,,,,6.0,4.0,4.0,3.0,0.01689528,0.01262646,-0.004268819999999998,Man Utd,Man City,8.0,Bruno Fernandes,FW,True,-13.550004633983193,0.0,-176.26594754425548,B. Fernandes,1.0,Man Utd
3,3,4,4.0,0.0,3.0,32,37.800000000000004,31.076000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.69'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '23.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 216, 218]",True,88526.0,37.48500000000001,15.708000000000002,,,,,,,,,,,0.05,,,,4.0,3.0,4.0,1.0,0.01262646,0.01214719,-0.0004792700000000004,Man Utd,Man City,18.0,Casemiro,DMC,True,-2.6854863568626968,0.0,-91.17423501053077,Casemiro,1.0,Man Utd
4,4,5,5.0,0.0,6.0,32,36.75,15.436,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '33.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.56'}]","[91, 117, 30, 35, 37, 215, 218]",True,353418.0,25.830000000000002,22.644,,,,,,,,,,,0.1,,,,4.0,1.0,2.0,2.0,0.01214719,0.01001304,-0.0021341499999999996,Man Utd,Man City,20.0,Diogo Dalot,DR,True,-9.250636766656498,0.0,146.5722650561589,D. Dalot,1.0,Man Utd
5,5,6,5.5,0.0,8.5,32,25.830000000000002,22.644,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,99487.0,27.3,19.856,,,,,,6.0,,,,,0.14166666666666666,,,,2.0,2.0,3.0,2.0,0.01001304,0.01110462,0.00109158,Man Utd,Man City,5.0,Harry Maguire,DC,True,0.0,1.0034459308858317,-62.19912596037827,H. Maguire,1.0,Man Utd
6,6,7,6.0,0.0,11.0,32,27.3,19.856,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '92.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '71.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '7.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.07'}]","[91, 120, 128, 36, 38, 217, 218]",True,99487.0,96.915,4.760000000000001,,,,,,,,,,,0.18333333333333332,,,,,,,,,,,Man Utd,Man City,5.0,Harry Maguire,DC,True,48.639663851924446,0.0,-12.235145494739458,H. Maguire,1.0,Man Utd
7,7,8,3.0,0.0,15.0,167,9.555,64.05600000000001,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,402664.0,,,,,,,,,,,,,0.25,,,,,,,,,,,Man City,Man Utd,24.0,Josko Gvardiol,DL,True,0.0,0.0,,J. Gvardiol,2.0,Man City
8,8,9,4.0,0.0,16.0,167,8.925,61.2,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '65.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '3.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.41'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.5'}]","[91, 117, 30, 35, 38, 215, 218]",True,402664.0,3.7800000000000002,44.47200000000001,,,,,,,,,,,0.26666666666666666,,,,1.0,7.0,0.0,5.0,0.00779616,0.0088799,0.0010837399999999997,Man City,Man Utd,24.0,Josko Gvardiol,DL,True,-1.9091459911225996,0.0,-107.09623022915463,J. Gvardiol,2.0,Man City
9,9,10,5.0,0.0,18.0,167,3.6750000000000003,45.084,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.02'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '58.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '67.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '59.1'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 119, 117, 127, 36, 37, 216, 218]",True,121774.0,62.05500000000001,46.104,,,,,,,,,,,0.3,,,,0.0,5.0,7.0,5.0,0.0088799,0.01935132,0.010471420000000002,Man City,Man Utd,31.0,Ederson,GK,True,57.31128375992993,0.0,1.0009549421723214,Ederson,2.0,Man City
