level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,2.0,0.0,0.0,819,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Getafe,Athletic Club,,nan,,,0.0,0.0,,nan,1.0,Athletic Club
1,2,2.0,0.0,0.0,53,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Athletic Club,Getafe,,nan,,,0.0,0.0,,nan,1.0,Athletic Club
2,3,3.0,0.0,0.0,53,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '37.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.89'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.6'}]","[91, 117, 30, 35, 38, 216, 218]",True,362602.0,43.260000000000005,25.432000000000002,,,,,,,,,,,0.0,,,,6.0,3.0,4.0,2.0,0.01689528,0.01269174,-0.004203539999999999,Athletic Club,Getafe,12.0,Gorka Guruzeta,FW,True,-9.831679136695804,0.0,-137.16107948822636,G. Guruzeta,1.0,Athletic Club
3,4,4.0,0.0,3.0,53,44.52,25.772000000000002,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '46.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '66.3'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.00'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '94.8'}]","[91, 119, 117, 124, 127, 36, 37, 216, 218]",True,279839.0,69.615,64.464,,,,,,,,,,,0.05,,,,5.0,3.0,7.0,7.0,0.01484598,0.0174506,0.00260462,Athletic Club,Getafe,5.0,Yeray Alvarez,DC,True,14.345008878988068,0.0,57.03321596448069,Y. Alvarez,1.0,Athletic Club
4,5,5.0,0.0,5.0,53,69.615,64.464,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.28'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '100.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '81.1'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}]","[91, 120, 29, 139, 36, 37, 217, 218]",True,238899.0,85.155,68.0,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,Athletic Club,Getafe,7.0,Alex Berenguer,AML,True,7.324309698164747,0.0,12.818926237720198,A. Berenguer,1.0,Athletic Club
5,6,4.0,0.0,33.0,819,25.305000000000003,0.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.79'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '21.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '17.9'}]","[91, 212, 35, 37, 215]",True,408735.0,22.365000000000002,12.172,,,,,,,,,,,0.55,,,,2.0,0.0,2.0,1.0,0.00844854,0.00942382,0.0009752800000000002,Getafe,Athletic Club,21.0,Juan Iglesias,DR,True,1.175315582538019,0.0,103.57902335324414,J. Iglesias,1.0,Athletic Club
6,7,5.0,0.0,35.0,819,22.785,12.648000000000001,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '62.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.93'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '100.0'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '70.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[91, 120, 128, 36, 37, 216, 218]",True,332990.0,65.10000000000001,68.0,,,,,,,,,,,0.5833333333333334,,,,,,,,,,,Getafe,Athletic Club,2.0,Djene Dakonam,DC,True,32.52095147873085,0.0,52.60313545196171,D. Dakonam,1.0,Athletic Club
7,8,8.0,0.0,46.0,53,43.68000000000001,0.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '25.4'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '19.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '22.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.43'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}]","[91, 212, 35, 37, 215]",True,345908.0,26.669999999999998,13.532,,,,,,,,,,,0.7666666666666666,,,,5.0,0.0,2.0,1.0,0.01248344,0.00942382,-0.0030596200000000007,Athletic Club,Getafe,2.0,Andoni Gorosabel,DR,True,-10.844831005564387,0.0,141.4966269735573,A. Gorosabel,1.0,Athletic Club
8,9,9.0,0.0,48.0,53,26.355000000000004,15.98,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '60.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.62'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.0'}]","[91, 117, 30, 35, 37, 215, 218]",True,279839.0,25.200000000000003,40.800000000000004,,,,,,,,,,,0.8,,,,2.0,1.0,2.0,4.0,0.00942382,0.01016549,0.0007416699999999998,Athletic Club,Getafe,5.0,Yeray Alvarez,DC,True,0.5938613035876585,0.0,92.6643399906972,Y. Alvarez,1.0,Athletic Club
9,10,10.0,0.0,49.0,53,25.200000000000003,40.800000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '59.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.22'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.3'}]","[91, 117, 30, 36, 38, 215, 218]",True,402663.0,31.5,40.392,,,,,,,,,,,0.8166666666666667,,,,2.0,4.0,3.0,4.0,0.01016549,0.01132376,0.0011582700000000012,Athletic Club,Getafe,4.0,Aitor Paredes,DC,True,6.311780527256346,0.0,-3.705409306127969,A. Paredes,1.0,Athletic Club
