level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,2.0,0.0,0.0,55,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Valencia,Barcelona,,nan,,,0.0,0.0,,nan,1.0,Valencia
1,2,2.0,0.0,0.0,65,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Barcelona,Valencia,,nan,,,0.0,0.0,,nan,1.0,Valencia
2,3,3.0,0.0,0.0,55,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.35'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '46.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 216, 218]",True,322246.0,40.425000000000004,31.416000000000004,,,,,,,,,,,0.0,,,,6.0,3.0,4.0,3.0,0.01689528,0.01262646,-0.004268819999999998,Valencia,Barcelona,10.0,Andre Almeida,FW,True,-12.126679328277405,0.0,-167.9211222293547,A. Almeida,1.0,Valencia
3,4,4.0,0.0,3.0,55,40.425000000000004,31.416000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.31'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '14.2'}]","[91, 117, 30, 35, 38, 215, 218]",True,302889.0,31.080000000000002,9.656,,,,,,,,,,,0.05,,,,4.0,3.0,3.0,1.0,0.01262646,0.0105949,-0.00203156,Valencia,Barcelona,18.0,Pepelu,MC,True,-13.198745411970563,0.0,-113.24147775708292,Pepelu,1.0,Valencia
4,5,4.5,0.0,4.5,55,31.080000000000002,9.656,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,367180.0,33.495,7.004000000000001,,,,,,5.0,,,,,0.07500000000000001,,,,3.0,1.0,3.0,0.0,0.0105949,0.00977659,-0.0008183100000000009,Valencia,Barcelona,12.0,Thierry Correia,DR,True,0.0,1.3940892750083265,-47.677957416283874,T. Correia,1.0,Valencia
5,6,5.0,0.0,6.0,55,33.495,7.004000000000001,0.0,FirstHalf,OffsidePass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '15.6'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '64.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 7, 'displayName': 'PlayerCaughtOffside'}, 'value': '300369'}]","[91, 216]",True,367180.0,67.30499999999999,10.608,,,,,,,,,,,0.1,,,,,,,,,,,Valencia,Barcelona,12.0,Thierry Correia,DR,True,0.0,0.0,6.084506742403538,T. Correia,1.0,Valencia
6,7,3.0,0.0,6.0,65,38.010000000000005,62.83200000000001,0.0,FirstHalf,OffsideProvoked,Successful,[],[62],False,422938.0,,,,,,,,,,,,,0.1,,,,,,,,,,,Barcelona,Valencia,3.0,Alejandro Balde,DL,True,0.0,0.0,,A. Balde,2.0,Barcelona
7,8,492.0,0.0,18.0,65,23.1,65.348,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 5, 'displayName': 'FreekickTaken'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '14.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '82.0'}, {'type': {'value': 241, 'displayName': 'IndirectFreekickTaken'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.02'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.4'}]","[91, 117, 30, 132, 35, 38, 215, 218]",True,422938.0,15.225000000000001,55.760000000000005,,,,,,,,,,,0.3,,,,2.0,7.0,1.0,6.0,0.00844854,0.00878589,0.00033735000000000015,Barcelona,Valencia,3.0,Alejandro Balde,DL,True,-4.68010378239255,0.0,-129.39760209508253,A. Balde,2.0,Barcelona
8,9,4.0,0.0,23.0,65,15.225000000000001,56.03200000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '35.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '13.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.69'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '32.1'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 117, 127, 35, 38, 215, 218]",True,106885.0,14.385,23.936000000000003,,,,,,,,,,,0.3833333333333333,,,,1.0,6.0,1.0,2.0,0.00878589,0.00977745,0.0009915600000000007,Barcelona,Valencia,5.0,Inigo Martinez,DC,True,1.2667933321981764,0.0,-91.49917344310747,I. Martinez,2.0,Barcelona
9,10,4.5,0.0,24.5,65,14.385,23.936000000000003,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,498386.0,23.625,22.983999999999998,,,,,,5.0,,,,,0.4083333333333333,,,,1.0,2.0,2.0,2.0,0.00977745,0.01001304,0.0002355900000000008,Barcelona,Valencia,2.0,Pau Cubarsi,DC,True,0.0,9.054906785109608,-5.882445590095373,P. Cubarsi,2.0,Barcelona
