level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,2.0,0.0,0.0,60,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Deportivo Alaves,Celta Vigo,,nan,,,0.0,0.0,,nan,1.0,Deportivo Alaves
1,2,2.0,0.0,0.0,62,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Celta Vigo,Deportivo Alaves,,nan,,,0.0,0.0,,nan,1.0,Deportivo Alaves
2,3,3.0,0.0,0.0,60,52.71000000000001,34.068000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.66'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '40.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '41.3'}]","[91, 117, 30, 35, 38, 216, 218]",True,335041.0,42.105000000000004,28.084,,,,,,,,,,,0.0,,,,5.0,4.0,4.0,3.0,0.01484598,0.01262646,-0.002219519999999999,Deportivo Alaves,Celta Vigo,18.0,Jon Guridi,AMC,True,-10.882577077835712,0.0,-150.56560811771305,J. Guridi,1.0,Deportivo Alaves
3,4,4.0,0.0,3.0,60,44.625,27.608000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.47'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '10.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.6'}]","[91, 117, 30, 35, 38, 216, 218]",True,344120.0,39.480000000000004,6.800000000000001,,,,,,,,,,,0.05,,,,5.0,3.0,4.0,0.0,0.01484598,0.01126267,-0.0035833099999999993,Deportivo Alaves,Celta Vigo,6.0,Ander Guevara,DMC,True,-10.229175660339195,0.0,-103.8884288923337,A. Guevara,1.0,Deportivo Alaves
4,5,4.5,0.0,4.0,60,39.480000000000004,6.800000000000001,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,462861.0,42.73500000000001,5.848,,,,,,5.0,,,,,0.06666666666666667,,,,4.0,0.0,4.0,0.0,0.01126267,0.01126267,0.0,Deportivo Alaves,Celta Vigo,7.0,Carlos Vicente,DR,True,0.0,2.608112368978823,-16.302779173364055,C. Vicente,1.0,Deportivo Alaves
5,6,5.0,0.0,5.0,60,42.73500000000001,5.848,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '26.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.36'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 37, 215, 218]",True,462861.0,30.555000000000003,17.816000000000003,,,,,,,,,,,0.08333333333333333,,,,4.0,0.0,3.0,2.0,0.01126267,0.01110462,-0.00015804999999999986,Deportivo Alaves,Celta Vigo,7.0,Carlos Vicente,DR,True,-7.850369629683428,0.0,135.5029978965165,C. Vicente,1.0,Deportivo Alaves
6,7,6.0,0.0,8.0,60,31.185000000000002,19.788000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '64.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.64'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '28.0'}]","[91, 117, 30, 35, 37, 215, 218]",True,409740.0,29.400000000000002,44.064,,,,,,,,,,,0.13333333333333333,,,,3.0,2.0,3.0,5.0,0.01110462,0.01110462,0.0,Deportivo Alaves,Celta Vigo,5.0,Abdel Abqar,DC,True,-1.0962197651380166,0.0,94.20535700170859,A. Abqar,1.0,Deportivo Alaves
7,8,6.5,0.0,10.5,60,29.400000000000002,44.064,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,347874.0,24.150000000000002,46.308,,,,,,7.0,,,,,0.175,,,,3.0,5.0,2.0,5.0,0.01110462,0.01001304,-0.00109158,Deportivo Alaves,Celta Vigo,14.0,Nahuel Tenaglia,DC,True,0.0,-5.514546612418826,156.85675243265501,N. Tenaglia,1.0,Deportivo Alaves
8,9,7.0,0.0,13.0,60,24.150000000000002,46.308,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.14'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '92.9'}]","[91, 117, 30, 36, 37, 215, 218]",True,347874.0,31.919999999999998,63.17200000000001,,,,,,,,,,,0.21666666666666667,,,,2.0,5.0,3.0,7.0,0.01001304,0.00977659,-0.0002364500000000009,Deportivo Alaves,Celta Vigo,14.0,Nahuel Tenaglia,DC,True,3.0941681313900773,0.0,65.26235948462545,N. Tenaglia,1.0,Deportivo Alaves
9,10,8.0,0.0,15.0,60,32.655,65.008,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '66.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.92'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '74.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '39.8'}]","[91, 119, 117, 127, 36, 38, 216, 218]",True,375342.0,69.825,50.864000000000004,,,,,,,,,,,0.25,,,,3.0,7.0,7.0,6.0,0.00977659,0.01870347,0.00892688,Deportivo Alaves,Celta Vigo,22.0,Moussa Diarra,DL,True,39.70154241811082,0.0,-20.83291735801362,M. Diarra,1.0,Deportivo Alaves
