level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,2.0,0.0,0.0,838,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Las Palmas,Sevilla,,nan,,,0.0,0.0,,nan,1.0,Sevilla
1,2,2.0,0.0,0.0,67,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Sevilla,Las Palmas,,nan,,,0.0,0.0,,nan,1.0,Sevilla
2,3,3.0,0.0,1.0,67,51.87,34.34,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.15'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '50.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 216, 218]",True,492362.0,40.845,34.204,,,,,,,,,,,0.016666666666666666,,,,5.0,4.0,4.0,4.0,0.01484598,0.01262646,-0.002219519999999999,Sevilla,Las Palmas,7.0,Isaac Romero,FW,True,-11.024236452198544,0.0,-179.29325797643116,I. Romero,1.0,Sevilla
3,4,409.0,0.0,2.0,67,42.21000000000001,34.204,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '39.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '43.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.11'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.1'}]","[91, 117, 30, 36, 38, 216, 218]",True,77417.0,45.36000000000001,26.792,,,,,,,,,,,0.03333333333333333,,,,4.0,4.0,5.0,3.0,0.01262646,0.01484598,0.002219519999999999,Sevilla,Las Palmas,6.0,Nemanja Gudelj,DC,True,2.7163364831922507,0.0,-66.975162744259,N. Gudelj,1.0,Sevilla
4,5,4.0,0.0,3.0,67,43.89,25.840000000000003,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '46.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.49'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 37, 216, 218]",True,395187.0,36.015,31.892000000000003,,,,,,,,,,,0.05,,,,4.0,3.0,3.0,3.0,0.01262646,0.01132376,-0.0013027000000000004,Sevilla,Las Palmas,26.0,Juanlu Sanchez,AMC,True,-7.364805836349667,0.0,142.45743631699224,J. Sanchez,1.0,Sevilla
5,6,5.0,0.0,4.0,67,36.015,31.892000000000003,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '46.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '25.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.20'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.8'}]","[91, 117, 30, 35, 38, 215, 218]",True,388505.0,26.25,31.348000000000003,,,,,,,,,,,0.06666666666666667,,,,4.0,3.0,2.0,3.0,0.01262646,0.01016549,-0.0024609700000000016,Sevilla,Las Palmas,18.0,Lucien Agoume,DMC,True,-9.777442024753185,0.0,-176.8113958404409,L. Agoume,1.0,Sevilla
6,7,6.0,0.0,5.0,67,25.62,31.484,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.09'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '12.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '77.7'}]","[91, 117, 30, 35, 37, 215, 218]",True,382492.0,13.440000000000001,52.836000000000006,,,,,,,,,,,0.08333333333333333,,,,2.0,3.0,1.0,6.0,0.01016549,0.00878589,-0.0013796,Sevilla,Las Palmas,24.0,Tanguy Nianzou,DC,True,-14.057559278959317,0.0,119.70209391858879,T. Nianzou,1.0,Sevilla
7,8,7.0,0.0,6.0,67,11.865000000000002,53.244,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '3'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '13.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '78.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.00'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '2.4'}]","[91, 118, 120, 128, 36, 215, 218]",True,363966.0,14.28,53.244,,,,,,,,,,,0.1,,,,,,,,,,,Sevilla,Las Palmas,3.0,Adria Pedrosa,DL,True,2.363753829068571,0.0,0.0,A. Pedrosa,1.0,Sevilla
8,9,3.0,0.0,6.0,838,91.98,14.484000000000002,0.0,FirstHalf,BlockedPass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}]","[91, 60]",True,138695.0,,,,,,,,,,,,,0.1,,,,,,,,,,,Las Palmas,Sevilla,16.0,Oliver McBurnie,FW,True,0.0,0.0,,O. McBurnie,1.0,Sevilla
9,10,8.0,0.0,8.0,67,7.14,51.408,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.0'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '3.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.35'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '60.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 139, 35, 38, 215, 218]",True,363966.0,3.2550000000000003,41.14,,,,,,,,,,,0.13333333333333333,,,,0.0,6.0,0.0,4.0,0.00750072,0.00941056,0.0019098400000000003,Sevilla,Las Palmas,3.0,Adria Pedrosa,DL,True,-2.598950780433654,0.0,-110.72463539119786,A. Pedrosa,1.0,Sevilla
