level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,2.0,0.0,0.0,52,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Real Madrid,Mallorca,,nan,,,0.0,0.0,,nan,1.0,Mallorca
1,2,2.0,0.0,0.0,51,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Mallorca,Real Madrid,,nan,,,0.0,0.0,,nan,1.0,Mallorca
2,3,3.0,0.0,0.0,51,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '22.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.41'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '41.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 215, 218]",True,106596.0,30.450000000000003,28.016000000000005,,,,,,,,,,,0.0,,,,5.0,3.0,3.0,3.0,0.01484598,0.01132376,-0.0035222199999999995,Mallorca,Real Madrid,10.0,Sergi Darder,MC,True,-22.289777082165443,0.0,-164.81658291294002,S. Darder,1.0,Mallorca
3,4,4.0,0.0,3.0,51,30.450000000000003,28.016000000000005,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '57.9'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '50.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.93'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '100.0'}]","[91, 120, 128, 36, 37, 216, 218]",True,142387.0,60.795,68.0,,,,,,,,,,,0.05,,,,,,,,,,,Mallorca,Real Madrid,24.0,Martin Valjent,DC,True,19.021667691582728,0.0,52.804098591943905,M. Valjent,1.0,Mallorca
4,5,4.0,0.0,17.0,52,44.625,0.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.24'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '5.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '44.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.2'}]","[91, 212, 36, 37, 216]",True,106883.0,46.30500000000001,3.5360000000000005,,,,,,,,,,,0.2833333333333333,,,,5.0,0.0,5.0,0.0,0.01248344,0.01248344,0.0,Real Madrid,Mallorca,2.0,Dani Carvajal,DR,True,3.160404039129247,0.0,64.58699386342334,D. Carvajal,1.0,Mallorca
5,6,5.0,0.0,18.0,52,46.30500000000001,3.5360000000000005,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '1.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.77'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '3.9'}]","[91, 118, 120, 29, 35, 38, 216, 218]",True,344644.0,43.155,1.2240000000000002,,,,,,,,,,,0.3,,,,,,,,,,,Real Madrid,Mallorca,8.0,Federico Valverde,MC,True,-3.863498736940329,0.0,-143.72251303320303,F. Valverde,1.0,Mallorca
6,7,6.0,0.0,22.0,51,63.21000000000001,64.804,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,6227.0,,,,,,,,,,,,,0.36666666666666664,,,,,,,,,,,Mallorca,Real Madrid,14.0,Dani Rodriguez,FWL,True,0.0,0.0,,D. Rodriguez,1.0,Mallorca
7,8,7.0,0.0,22.0,51,63.21000000000001,64.804,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '67.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '89.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.78'}]","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,6227.0,70.98,60.52,,,,,,,,,,,0.36666666666666664,,,,7.0,7.0,8.0,7.0,0.0174506,0.02122129,0.00377069,Mallorca,Real Madrid,14.0,Dani Rodriguez,FWL,True,8.780693911870195,0.0,-28.870204525820913,D. Rodriguez,1.0,Mallorca
8,9,8.0,0.0,23.0,51,70.98,60.52,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.70'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '74.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '97.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.8'}]","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,254352.0,77.7,66.23200000000001,,,,,,,,,,,0.3833333333333333,,,,8.0,7.0,8.0,7.0,0.02122129,0.02122129,0.0,Mallorca,Real Madrid,7.0,Vedat Muriqi,FW,True,0.8957986206668309,0.0,40.36453657309742,V. Muriqi,1.0,Mallorca
9,10,9.0,0.0,24.0,51,77.7,66.23200000000001,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '78.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '70.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.95'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.6'}]","[91, 120, 29, 124, 36, 38, 217, 218]",True,6227.0,82.005,48.144,,,,,,,,,,,0.4,,,,,,,,,,,Mallorca,Real Madrid,14.0,Dani Rodriguez,FWL,True,15.242977288487054,0.0,-76.61249847738026,D. Rodriguez,1.0,Mallorca
