level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,2.0,0.0,0.0,131,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Osasuna,Leganes,,nan,,,0.0,0.0,,nan,1.0,Osasuna
1,2,2.0,0.0,0.0,825,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Leganes,Osasuna,,nan,,,0.0,0.0,,nan,1.0,Osasuna
2,3,3.0,0.0,0.0,131,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '45.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.31'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '33.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.0'}]","[91, 117, 30, 35, 38, 215, 218]",True,101238.0,34.755,31.008000000000003,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,3.0,0.01689528,0.01132376,-0.005571519999999998,Osasuna,Leganes,16.0,Moi Gomez,MC,True,-17.80869141862904,0.0,-170.42932775066953,M. Gomez,1.0,Osasuna
3,4,4.0,0.0,2.0,131,35.28,31.212,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.45'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '73.4'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '75.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '46.4'}]","[91, 120, 128, 36, 37, 217, 218]",True,374638.0,77.07000000000001,51.476000000000006,,,,,,,,,,,0.03333333333333333,,,,,,,,,,,Osasuna,Leganes,24.0,Alejandro Catena,DC,True,36.828863374450876,0.0,25.8687787459845,A. Catena,1.0,Osasuna
4,5,3.0,0.0,5.0,825,29.400000000000002,17.884,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[197, 200]",False,381630.0,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,Leganes,Osasuna,22.0,Aritz Arambarri,DC,True,0.0,0.0,,A. Arambarri,2.0,Leganes
5,6,5.0,0.0,5.0,131,75.60000000000001,50.11600000000001,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '3'}]","[198, 199]",False,249960.0,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,Osasuna,Leganes,6.0,Lucas Torro,MC,True,0.0,0.0,,L. Torro,2.0,Leganes
6,7,4.0,0.0,5.0,825,31.71,20.196,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.13'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.8'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '44.9'}]","[91, 117, 30, 139, 36, 37, 216, 218]",True,381630.0,36.54,30.532,,,,,,,,,,,0.08333333333333333,,,,3.0,2.0,3.0,3.0,0.01110462,0.01132376,0.0002191399999999996,Leganes,Osasuna,22.0,Aritz Arambarri,DC,True,6.030863005913659,0.0,64.95337400462031,A. Arambarri,2.0,Leganes
7,8,5.0,0.0,7.0,825,36.75,31.348000000000003,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,448222.0,,,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Leganes,Osasuna,8.0,Seydouba Cisse,AMC,True,0.0,0.0,,S. Cisse,2.0,Leganes
8,9,6.0,0.0,8.0,825,34.86000000000001,30.056000000000004,0.0,FirstHalf,Dispossessed,Successful,"[{'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}]","[91, 70]",True,448222.0,,,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Leganes,Osasuna,8.0,Seydouba Cisse,AMC,True,0.0,0.0,,S. Cisse,2.0,Leganes
9,10,6.0,0.0,8.0,131,70.14,37.944,0.0,FirstHalf,Tackle,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[91, 142]",True,101238.0,,,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Osasuna,Leganes,16.0,Moi Gomez,MC,True,0.0,0.0,,M. Gomez,3.0,Osasuna
