level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,2.0,0.0,0.0,2783,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Girona,Real Betis,,nan,,,0.0,0.0,,nan,1.0,Real Betis
1,2,2.0,0.0,0.0,54,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Real Betis,Girona,,nan,,,0.0,0.0,,nan,1.0,Real Betis
2,3,3.0,0.0,0.0,54,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.86'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '53.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '42.6'}]","[91, 117, 30, 35, 37, 216, 218]",True,349494.0,44.730000000000004,36.244,,,,,,,,,,,0.0,,,,6.0,3.0,5.0,4.0,0.01689528,0.01484598,-0.0020492999999999987,Real Betis,Girona,24.0,Aitor Ruibal,FW,True,-7.811760345723613,0.0,163.89111918390813,A. Ruibal,1.0,Real Betis
3,4,3.5,0.0,1.0,54,44.730000000000004,36.244,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,134893.0,47.88,39.712,,,,,,12.0,,,,,0.016666666666666666,,,,5.0,4.0,5.0,4.0,0.01484598,0.01484598,0.0,Real Betis,Girona,8.0,Nabil Fekir,AMC,True,0.0,2.9068707978810906,47.75099042876573,N. Fekir,1.0,Real Betis
4,5,12.0,0.0,2.0,54,47.88,39.712,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.15'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '84.0'}]","[91, 117, 30, 35, 37, 216, 218]",True,134893.0,36.54,57.120000000000005,,,,,,,,,,,0.03333333333333333,,,,5.0,4.0,4.0,6.0,0.01484598,0.01214719,-0.0026987899999999995,Real Betis,Girona,8.0,Nabil Fekir,AMC,True,-14.85371547605758,0.0,123.08121187386746,N. Fekir,1.0,Real Betis
5,6,13.0,0.0,3.0,54,36.225,59.160000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.63'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '75.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '20.7'}]","[91, 117, 30, 35, 38, 215, 218]",True,331466.0,21.735,51.408,,,,,,,,,,,0.05,,,,4.0,6.0,2.0,6.0,0.01214719,0.00942382,-0.002723370000000001,Real Betis,Girona,15.0,Romain Perraud,DL,True,-11.832575856381368,0.0,-151.8536799233659,R. Perraud,1.0,Real Betis
6,7,13.5,0.0,5.5,54,21.735,51.408,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,123232.0,27.090000000000003,44.47200000000001,,,,,,25.0,,,,,0.09166666666666667,,,,2.0,6.0,2.0,5.0,0.00942382,0.01001304,0.0005892200000000014,Real Betis,Girona,3.0,Diego Llorente,DC,True,0.0,6.45463303818444,-52.329747716758696,D. Llorente,1.0,Real Betis
7,8,25.0,0.0,8.0,54,27.090000000000003,44.47200000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '30.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.67'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.8'}]","[91, 117, 30, 35, 38, 215, 218]",True,123232.0,26.040000000000003,20.740000000000002,,,,,,,,,,,0.13333333333333333,,,,3.0,5.0,2.0,2.0,0.01110462,0.01001304,-0.00109158,Real Betis,Girona,3.0,Diego Llorente,DC,True,-1.4550272439257839,0.0,-92.5333456524269,D. Llorente,1.0,Real Betis
8,9,25.5,0.0,9.0,54,26.040000000000003,20.740000000000002,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,83686.0,22.26,16.388,,,,,,4.0,,,,,0.15,,,,3.0,2.0,2.0,1.0,0.01110462,0.00942382,-0.0016808000000000014,Real Betis,Girona,5.0,Marc Bartra,DC,True,0.0,-4.52802117926251,-130.97647615725842,M. Bartra,1.0,Real Betis
9,10,4.0,0.0,10.0,54,22.26,16.388,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '29.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '15.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '66.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.79'}]","[91, 117, 30, 35, 37, 215, 218]",True,83686.0,15.75,45.424,,,,,,,,,,,0.16666666666666666,,,,2.0,1.0,1.0,5.0,0.00942382,0.00977745,0.0003536300000000006,Real Betis,Girona,5.0,Marc Bartra,DC,True,-5.384488813741683,0.0,102.63699005875026,M. Bartra,1.0,Real Betis
10,11,4.5,0.0,12.0,54,15.75,45.424,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,123232.0,24.255000000000003,45.084,,,,,,5.0,,,,,0.2,,,,1.0,5.0,2.0,5.0,0.00977745,0.01001304,0.0002355900000000008,Real Betis,Girona,3.0,Diego Llorente,DC,True,0.0,8.475956495475614,-2.2892648502476756,D. Llorente,1.0,Real Betis
11,12,5.0,0.0,14.0,54,24.255000000000003,45.084,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '21.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '26.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.65'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '27.3'}]","[91, 117, 30, 35, 38, 215, 218]",True,123232.0,22.680000000000003,17.816000000000003,,,,,,,,,,,0.23333333333333334,,,,2.0,5.0,2.0,2.0,0.01001304,0.01001304,0.0,Real Betis,Girona,3.0,Diego Llorente,DC,True,-2.3935849745004703,0.0,-93.30573194674085,D. Llorente,1.0,Real Betis
12,13,6.0,0.0,19.0,54,21.735,15.776,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '46.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.03'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '13.4'}]","[91, 117, 30, 35, 37, 215, 218]",True,83686.0,14.07,31.28,,,,,,,,,,,0.31666666666666665,,,,2.0,1.0,1.0,3.0,0.00942382,0.01082722,0.0014034000000000008,Real Betis,Girona,5.0,Marc Bartra,DC,True,-5.734680343326218,0.0,116.30726413277733,M. Bartra,1.0,Real Betis
13,14,7.0,0.0,21.0,54,14.385,32.572,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '16.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '69.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.37'}]","[91, 117, 30, 36, 37, 215, 218]",True,141833.0,17.325,47.328,,,,,,,,,,,0.35,,,,1.0,3.0,1.0,5.0,0.01082722,0.00977745,-0.0010497700000000002,Real Betis,Girona,1.0,Rui Silva,GK,True,1.944002657139265,0.0,78.73188925542321,R. Silva,1.0,Real Betis
14,15,7.5,0.0,23.0,54,17.325,47.328,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,123232.0,19.53,43.588,,,,,,8.0,,,,,0.3833333333333333,,,,2.0,5.0,2.0,5.0,0.01001304,0.01001304,0.0,Real Betis,Girona,3.0,Diego Llorente,DC,True,0.0,2.676140377861117,-59.47758085819944,D. Llorente,1.0,Real Betis
15,16,8.0,0.0,25.0,54,19.53,43.588,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.80'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '13.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '34.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '21.6'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 117, 127, 36, 38, 215, 218]",True,123232.0,22.680000000000003,8.908000000000001,,,,,,,,,,,0.4166666666666667,,,,2.0,5.0,2.0,0.0,0.01001304,0.00844854,-0.0015645000000000017,Real Betis,Girona,3.0,Diego Llorente,DC,True,-0.05312063521789412,0.0,-84.81003999323993,D. Llorente,1.0,Real Betis
