level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,2.0,0.0,0.0,64,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Rayo Vallecano,Real Sociedad,,nan,,,0.0,0.0,,nan,1.0,Rayo Vallecano
1,2,2.0,0.0,0.0,68,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Real Sociedad,Rayo Vallecano,,nan,,,0.0,0.0,,nan,1.0,Rayo Vallecano
2,3,3.0,0.0,0.0,64,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.77'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '59.1'}]","[91, 117, 30, 35, 37, 216, 218]",True,422960.0,36.645,40.188,,,,,,,,,,,0.0,,,,6.0,3.0,4.0,4.0,0.01689528,0.01262646,-0.004268819999999998,Rayo Vallecano,Real Sociedad,11.0,Randy Nteka,FW,True,-16.13452024309632,0.0,158.6799460063844,R. Nteka,1.0,Rayo Vallecano
3,4,4.0,0.0,4.0,64,35.805,41.276,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '92.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '42.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.18'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.6'}]","[91, 117, 30, 36, 37, 216, 218]",True,422958.0,44.83500000000001,63.03600000000001,,,,,,,,,,,0.06666666666666667,,,,4.0,4.0,4.0,7.0,0.01262646,0.01126267,-0.0013637900000000001,Rayo Vallecano,Real Sociedad,23.0,Oscar Valentin,MC,True,2.771428138707421,0.0,67.46244845399609,O. Valentin,1.0,Rayo Vallecano
4,5,5.0,0.0,5.0,64,44.83500000000001,63.03600000000001,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.61'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '36.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '61.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '88.2'}]","[91, 120, 128, 36, 38, 217, 218]",True,135572.0,92.61000000000001,24.752000000000002,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,Rayo Vallecano,Real Sociedad,21.0,Adri Embarba,ML,True,51.3442226018427,0.0,-38.70657899616556,A. Embarba,1.0,Rayo Vallecano
5,6,5.0,0.0,9.0,68,11.13,41.344,0.0,FirstHalf,BallTouch,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 69]",True,270504.0,,,,,,,,,,,,,0.15,,,,,,,,,,,Real Sociedad,Rayo Vallecano,1.0,Alex Remiro,GK,True,0.0,0.0,,A. Remiro,1.0,Rayo Vallecano
6,7,8.0,0.0,10.0,68,9.66,41.956,0.0,FirstHalf,Error,Successful,"[{'type': {'value': 169, 'displayName': 'LeadingToAttempt'}, 'value': '7'}]",[99],False,270504.0,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Real Sociedad,Rayo Vallecano,1.0,Alex Remiro,GK,True,0.0,0.0,,A. Remiro,1.0,Rayo Vallecano
7,8,7.0,0.0,12.0,64,99.75,27.676000000000005,0.0,FirstHalf,SavedShot,Successful,"[{'type': {'value': 100, 'displayName': 'SixYardBlock'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '3'}, {'type': {'value': 82, 'displayName': 'Blocked'}}, {'type': {'value': 214, 'displayName': 'BigChance'}}, {'type': {'value': 20, 'displayName': 'RightFoot'}}, {'type': {'value': 101, 'displayName': 'SavedOffline'}}, {'type': {'value': 147, 'displayName': 'BlockedY'}, 'value': '43.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 80, 'displayName': 'LowRight'}}, {'type': {'value': 60, 'displayName': 'SmallBoxRight'}}, {'type': {'value': 146, 'displayName': 'BlockedX'}, 'value': '97.6'}, {'type': {'value': 22, 'displayName': 'RegularPlay'}}, {'type': {'value': 328, 'displayName': 'FirstTouch'}}, {'type': {'value': 103, 'displayName': 'GoalMouthZ'}, 'value': '4.2'}, {'type': {'value': 102, 'displayName': 'GoalMouthY'}, 'value': '47.6'}]","[91, 9, 10, 201, 0, 3, 12]",True,372331.0,,,97.6,43.7,4.2,32.368,True,,,,,,0.2,,,,,,,,,,,Rayo Vallecano,Real Sociedad,2.0,Andrei Ratiu,DR,True,0.0,0.0,,A. Ratiu,1.0,Rayo Vallecano
8,9,3.0,0.0,12.0,68,1.785,37.944,0.0,FirstHalf,Save,Successful,"[{'type': {'value': 94, 'displayName': 'OutfielderBlock'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}, {'type': {'value': 14, 'displayName': 'LastMan'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 96, 58]",True,395320.0,,,,,,,,,,,,,0.2,,,,,,,,,,,Real Sociedad,Rayo Vallecano,20.0,Jon Pacheco,DC,True,0.0,0.0,,J. Pacheco,1.0,Rayo Vallecano
9,10,4.0,0.0,13.0,68,6.510000000000001,42.364000000000004,0.0,FirstHalf,CornerAwarded,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 73, 'displayName': 'MissLeft'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '8'}]",[122],False,395320.0,,,,,,,,,,,,,0.21666666666666667,,,,,,,,,,,Real Sociedad,Rayo Vallecano,20.0,Jon Pacheco,DC,True,0.0,0.0,,J. Pacheco,1.0,Rayo Vallecano
