level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,2.0,0.0,0.0,70,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Espanyol,Real Valladolid,,nan,,,0.0,0.0,,nan,1.0,Real Valladolid
1,2,2.0,0.0,0.0,58,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Real Valladolid,Espanyol,,nan,,,0.0,0.0,,nan,1.0,Real Valladolid
2,3,3.0,0.0,0.0,58,52.5,34.068000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.50'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '38.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '22.5'}]","[91, 117, 30, 35, 38, 215, 218]",True,301034.0,31.5,26.112000000000002,,,,,,,,,,,0.0,,,,6.0,4.0,3.0,3.0,0.01689528,0.01132376,-0.005571519999999998,Real Valladolid,Espanyol,15.0,Eray Comert,MC,True,-21.42201318437882,0.0,-159.25044922470997,E. Comert,1.0,Real Valladolid
3,4,4.0,0.0,3.0,58,31.185000000000002,24.48,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '68.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '72.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.46'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '49.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 120, 128, 36, 37, 217, 218]",True,362276.0,75.915,46.51200000000001,,,,,,,,,,,0.05,,,,,,,,,,,Real Valladolid,Espanyol,5.0,Javi Sanchez,DC,True,42.76428956172744,0.0,26.22279760471387,J. Sanchez,1.0,Real Valladolid
4,5,3.0,0.0,7.0,70,33.18,19.448000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.6'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '20.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.96'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '46.6'}]","[91, 117, 30, 139, 36, 38, 216, 218]",True,90778.0,48.93000000000001,14.212,,,,,,,,,,,0.11666666666666667,,,,3.0,2.0,5.0,1.0,0.01110462,0.0138454,0.00274078,Espanyol,Real Valladolid,3.0,Sergi Gomez,DC,True,13.820105502150312,0.0,-18.38909998273786,S. Gomez,1.0,Real Valladolid
5,6,856.0,0.0,8.0,70,46.62,16.048000000000002,0.0,FirstHalf,BallTouch,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 69]",True,414269.0,,,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Espanyol,Real Valladolid,9.0,Alejo Veliz,FW,True,0.0,0.0,,A. Veliz,1.0,Real Valladolid
6,7,6.0,0.0,11.0,58,56.28,60.044000000000004,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '71.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '80.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.00'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '19.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[91, 120, 29, 36, 38, 217, 218]",True,459064.0,74.55,54.67200000000001,,,,,,,,,,,0.18333333333333332,,,,,,,,,,,Real Valladolid,Espanyol,22.0,Lucas Rosa,DL,True,18.44026517155595,0.0,-16.38512578294752,L. Rosa,1.0,Real Valladolid
7,8,4.0,0.0,12.0,70,35.49,16.796,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.23'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '63.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '31.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '35.4'}]","[91, 120, 128, 36, 37, 216, 218]",True,449410.0,66.465,24.072,,,,,,,,,,,0.2,,,,,,,,,,,Espanyol,Real Valladolid,23.0,Omar El Hilali,DC,True,31.814027048502105,0.0,13.21907314181243,O. E. Hilali,1.0,Real Valladolid
8,9,7.0,0.0,13.0,58,40.005,43.996,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '76.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.33'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 37, 215, 218]",True,362276.0,32.655,51.68000000000001,,,,,,,,,,,0.21666666666666667,,,,4.0,5.0,3.0,6.0,0.01269174,0.0105949,-0.002096839999999999,Real Valladolid,Espanyol,5.0,Javi Sanchez,DC,True,-8.714849703469966,0.0,133.72730857546327,J. Sanchez,1.0,Real Valladolid
9,10,8.0,0.0,16.0,58,31.815,52.836000000000006,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '40.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.86'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '96.5'}]","[91, 117, 30, 36, 37, 216, 218]",True,447842.0,42.73500000000001,65.62,,,,,,,,,,,0.26666666666666666,,,,3.0,6.0,4.0,7.0,0.0105949,0.01126267,0.0006677699999999998,Real Valladolid,Espanyol,6.0,Enzo Boyomo,DC,True,5.736329872475537,0.0,49.49628787438919,E. Boyomo,1.0,Real Valladolid
10,11,8.5,0.0,17.5,58,42.73500000000001,65.62,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,459064.0,51.765,66.708,,,,,,9.0,,,,,0.29166666666666663,,,,4.0,7.0,5.0,7.0,0.01126267,0.01248344,0.0012207699999999995,Real Valladolid,Espanyol,22.0,Lucas Rosa,DL,True,0.0,7.353539435510115,6.8702937182094255,L. Rosa,1.0,Real Valladolid
11,12,9.0,0.0,19.0,58,51.765,66.708,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.82'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '86.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '64.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[91, 119, 117, 30, 36, 38, 216, 218]",True,459064.0,67.72500000000001,58.82000000000001,,,,,,,,,,,0.31666666666666665,,,,5.0,7.0,7.0,7.0,0.01248344,0.0174506,0.00496716,Real Valladolid,Espanyol,22.0,Lucas Rosa,DL,True,17.697884235046914,0.0,-26.30022128476682,L. Rosa,1.0,Real Valladolid
12,13,10.0,0.0,20.0,58,67.72500000000001,58.82000000000001,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.5'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '68.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.87'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '93.8'}]","[91, 120, 29, 36, 37, 217, 218]",True,294008.0,71.925,63.784000000000006,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,Real Valladolid,Espanyol,7.0,Mamadou Sylla,FW,True,0.2734394050004312,0.0,49.76571140063804,M. Sylla,1.0,Real Valladolid
